uf;estado;capital;municipio
ba;bahia;salvador;canapolis
ba;bahia;salvador;canarana
ba;bahia;salvador;canavieiras
ba;bahia;salvador;candeal
ba;bahia;salvador;candeias
ba;bahia;salvador;candiba
ba;bahia;salvador;candido-sales
ba;bahia;salvador;cansancao
ba;bahia;salvador;canudos
ba;bahia;salvador;capela-do-alto-alegre
ba;bahia;salvador;capim-grosso
ba;bahia;salvador;caraibas
ba;bahia;salvador;caravelas
ba;bahia;salvador;cardeal-da-silva
ba;bahia;salvador;carinhanha
ba;bahia;salvador;casa-nova-
ba;bahia;salvador;castro-alves
ba;bahia;salvador;catolandia
ba;bahia;salvador;catu
ba;bahia;salvador;caturama
ba;bahia;salvador;central
ba;bahia;salvador;chorrocho
ba;bahia;salvador;cicero-dantas
ba;bahia;salvador;cipo
ba;bahia;salvador;coaraci
ba;bahia;salvador;cocos
ba;bahia;salvador;conceicao-da-feira
ba;bahia;salvador;conceicao-do-almeida
ba;bahia;salvador;conceicao-do-coite
ba;bahia;salvador;conceicao-do-jacuipe
ba;bahia;salvador;conde
ba;bahia;salvador;condeuba
ba;bahia;salvador;contendas-do-sincora
ba;bahia;salvador;coracao-de-maria
ba;bahia;salvador;cordeiros-
ba;bahia;salvador;coribe
ba;bahia;salvador;coronel-joao-sa
ba;bahia;salvador;correntina
ba;bahia;salvador;cotegipe
ba;bahia;salvador;cravolandia
ba;bahia;salvador;crisopolis
ba;bahia;salvador;cristopolis
ba;bahia;salvador;cruz-das-almas
ba;bahia;salvador;curaca
ba;bahia;salvador;dario-meira
ba;bahia;salvador;demais-municipios
ba;bahia;salvador;dias-d'avila
ba;bahia;salvador;dom-basilio
ba;bahia;salvador;dom-macedo-costa
ba;bahia;salvador;elisio-medrado
ba;bahia;salvador;encruzilhada
ba;bahia;salvador;entre-rios
ba;bahia;salvador;erico-cardoso
ba;bahia;salvador;esplanada-
ba;bahia;salvador;euclides-da-cunha
ba;bahia;salvador;eunapolis
ba;bahia;salvador;fatima
ba;bahia;salvador;feira-da-mata
ba;bahia;salvador;feira-de-santana
ba;bahia;salvador;filadelfia
ba;bahia;salvador;firmino-alves
ba;bahia;salvador;floresta-azul
ba;bahia;salvador;formosa-do-rio-preto
ba;bahia;salvador;gandu
ba;bahia;salvador;gaviao
ba;bahia;salvador;gentio-do-ouro
ba;bahia;salvador;gloria
ba;bahia;salvador;gongogi
ba;bahia;salvador;governador-mangabeira
ba;bahia;salvador;guajeru
ba;bahia;salvador;guanambi
ba;bahia;salvador;guaratinga
ba;bahia;salvador;heliopolis
ba;bahia;salvador;iacu
ba;bahia;salvador;ibiassuce
ba;bahia;salvador;ibicarai
ba;bahia;salvador;ibicoara
ba;bahia;salvador;ibicui
ba;bahia;salvador;ibipeba
ba;bahia;salvador;ibipitanga
ba;bahia;salvador;ibiquera
ba;bahia;salvador;ibirapitanga
ba;bahia;salvador;ibirapua
ba;bahia;salvador;ibirataia
ba;bahia;salvador;ibitiara
ba;bahia;salvador;ibitita
ba;bahia;salvador;ibotirama-
ba;bahia;salvador;ichu
ba;bahia;salvador;igapora
ba;bahia;salvador;igrapiuna
ba;bahia;salvador;iguai
ba;bahia;salvador;ilheus
ba;bahia;salvador;inhambupe
ba;bahia;salvador;ipecaeta
ba;bahia;salvador;ipiau
ba;bahia;salvador;ipira
ba;bahia;salvador;ipupiara
ba;bahia;salvador;irajuba
ba;bahia;salvador;iramaia
ba;bahia;salvador;iraquara
ba;bahia;salvador;irara
ba;bahia;salvador;irece
ba;bahia;salvador;itabela
ba;bahia;salvador;itaberaba
ba;bahia;salvador;itabuna
ba;bahia;salvador;itacare
ba;bahia;salvador;itaete
ba;bahia;salvador;itagi
ba;bahia;salvador;itagiba
ba;bahia;salvador;itagimirim
ba;bahia;salvador;itaguacu-da-bahia
ba;bahia;salvador;itaju-do-colonia
ba;bahia;salvador;itajuipe
ba;bahia;salvador;itamaraju
ba;bahia;salvador;itamari
ba;bahia;salvador;itambe
ba;bahia;salvador;itanagra
ba;bahia;salvador;itanhem
ba;bahia;salvador;itaparica
ba;bahia;salvador;itape
ba;bahia;salvador;itapebi
ba;bahia;salvador;itapetinga
ba;bahia;salvador;itapicuru
ba;bahia;salvador;itapitanga
ba;bahia;salvador;itaquara
ba;bahia;salvador;itarantim
ba;bahia;salvador;itatim
ba;bahia;salvador;itirucu
ba;bahia;salvador;itiuba
ba;bahia;salvador;itororo
ba;bahia;salvador;ituacu
ba;bahia;salvador;itubera
ba;bahia;salvador;iuiu
ba;bahia;salvador;jaborandi
ba;bahia;salvador;jacaraci
ba;bahia;salvador;jacobina
ba;bahia;salvador;jaguaquara
ba;bahia;salvador;jaguarari
ba;bahia;salvador;jaguaripe
ba;bahia;salvador;jandaira
ba;bahia;salvador;jequie
ba;bahia;salvador;jeremoabo
ba;bahia;salvador;jiquirica-
ba;bahia;salvador;jitauna
ba;bahia;salvador;joao-dourado
ba;bahia;salvador;juazeiro
ba;bahia;salvador;jucurucu
ba;bahia;salvador;jussara
ba;bahia;salvador;jussari
ba;bahia;salvador;jussiape
ba;bahia;salvador;lafaiete-coutinho
ba;bahia;salvador;lagoa-real
ba;bahia;salvador;laje
ba;bahia;salvador;lajedao
ba;bahia;salvador;lajedinho-
ba;bahia;salvador;lajedo-do-tabocal
ba;bahia;salvador;lamarao
ba;bahia;salvador;lapao
ba;bahia;salvador;lauro-de-freitas
ba;bahia;salvador;lencois
ba;bahia;salvador;licinio-de-almeida
ba;bahia;salvador;livramento-de-nossa-senhora
ba;bahia;salvador;luis-eduardo-magalhaes
ba;bahia;salvador;macajuba
ba;bahia;salvador;macarani
ba;bahia;salvador;macaubas
ba;bahia;salvador;macurure
ba;bahia;salvador;madre-de-deus
ba;bahia;salvador;maetinga
ba;bahia;salvador;maiquinique
ba;bahia;salvador;mairi
ba;bahia;salvador;malhada
ba;bahia;salvador;malhada-de-pedras
ba;bahia;salvador;manoel-vitorino
ba;bahia;salvador;mansidao
ba;bahia;salvador;maracas
ba;bahia;salvador;maragogipe
ba;bahia;salvador;marau
ba;bahia;salvador;marcionilio-souza
ba;bahia;salvador;mascote
ba;bahia;salvador;mata-de-sao-joao
ba;bahia;salvador;matina
ba;bahia;salvador;medeiros-neto
ba;bahia;salvador;miguel-calmon
ba;bahia;salvador;milagres
ba;bahia;salvador;mirangaba-
ba;bahia;salvador;mirante
ba;bahia;salvador;monte-santo
ba;bahia;salvador;morpara
ba;bahia;salvador;morro-do-chapeu
ba;bahia;salvador;mortugaba-
ba;bahia;salvador;mucuge
ba;bahia;salvador;mucuri
ba;bahia;salvador;mulungu-do-morro
ba;bahia;salvador;mundo-novo
ba;bahia;salvador;muniz-ferreira
ba;bahia;salvador;muquem-de-sao-francisco
ba;bahia;salvador;muritiba
ba;bahia;salvador;mutuipe
ba;bahia;salvador;nazare
ba;bahia;salvador;nilo-pecanha
ba;bahia;salvador;nordestina
ba;bahia;salvador;nova-canaa
ba;bahia;salvador;nova-fatima
ba;bahia;salvador;nova-ibia-
ba;bahia;salvador;nova-itarana
ba;bahia;salvador;nova-redencao
ba;bahia;salvador;nova-soure
ba;bahia;salvador;nova-vicosa
ba;bahia;salvador;novo-horizonte
ba;bahia;salvador;novo-triunfo
ba;bahia;salvador;olindina
ba;bahia;salvador;oliveira-dos-brejinhos
ba;bahia;salvador;ouricangas
ba;bahia;salvador;ourolandia
ba;bahia;salvador;palmas-de-monte-alto
ba;bahia;salvador;palmeiras
ba;bahia;salvador;paramirim
ba;bahia;salvador;paratinga
ba;bahia;salvador;paripiranga
ba;bahia;salvador;pau-brasil
ba;bahia;salvador;paulo-afonso
ba;bahia;salvador;pe-de-serra
ba;bahia;salvador;pedrao
ba;bahia;salvador;pedro-alexandre
ba;bahia;salvador;piata
ba;bahia;salvador;pilao-arcado
ba;bahia;salvador;pindai
ba;bahia;salvador;pindobacu
ba;bahia;salvador;pintadas
ba;bahia;salvador;pirai-do-norte
ba;bahia;salvador;piripa
ba;bahia;salvador;piritiba
ba;bahia;salvador;planaltino
ba;bahia;salvador;planalto
ba;bahia;salvador;pocoes
ba;bahia;salvador;pojuca
ba;bahia;salvador;ponto-novo
ba;bahia;salvador;porto-seguro
ba;bahia;salvador;potiragua-
ba;bahia;salvador;prado
ba;bahia;salvador;presidente-dutra
ba;bahia;salvador;presidente-janio-quadros
ba;bahia;salvador;presidente-tancredo-neves
ba;bahia;salvador;queimadas
ba;bahia;salvador;quijingue
ba;bahia;salvador;quixabeira
ba;bahia;salvador;rafael-jambeiro
ba;bahia;salvador;remanso
ba;bahia;salvador;retirolandia
ba;bahia;salvador;riachao-das-neves
ba;bahia;salvador;riachao-do-jacuipe
ba;bahia;salvador;riacho-de-santana
ba;bahia;salvador;ribeira-do-amparo
ba;bahia;salvador;ribeira-do-pombal
ba;bahia;salvador;ribeirao-do-largo
ba;bahia;salvador;rio-de-contas
ba;bahia;salvador;rio-do-antonio
ba;bahia;salvador;rio-do-pires
ba;bahia;salvador;rio-real
ba;bahia;salvador;rodelas
ba;bahia;salvador;ruy-barbosa
ba;bahia;salvador;salinas-da-margarida
ba;bahia;salvador;salvador
ba;bahia;salvador;santa-barbara
ba;bahia;salvador;santa-brigida
ba;bahia;salvador;santa-cruz-cabralia
ba;bahia;salvador;santa-cruz-da-vitoria
ba;bahia;salvador;santa-ines
ba;bahia;salvador;santa-luzia
ba;bahia;salvador;santa-maria-da-vitoria
ba;bahia;salvador;santa-rita-de-cassia
ba;bahia;salvador;santa-teresinha
ba;bahia;salvador;santaluz
ba;bahia;salvador;santana
ba;bahia;salvador;santanopolis
ba;bahia;salvador;santo-amaro
ba;bahia;salvador;santo-antonio-de-jesus
ba;bahia;salvador;santo-estevao
ba;bahia;salvador;sao-desiderio
ba;bahia;salvador;sao-domingos
ba;bahia;salvador;sao-felipe
ba;bahia;salvador;sao-felix-
ba;bahia;salvador;sao-felix-do-coribe
ba;bahia;salvador;sao-francisco-do-conde
ba;bahia;salvador;sao-gabriel
ba;bahia;salvador;sao-goncalo-dos-campos
ba;bahia;salvador;sao-jose-da-vitoria
ba;bahia;salvador;sao-jose-do-jacuipe
ba;bahia;salvador;sao-miguel-das-matas
ba;bahia;salvador;sao-sebastiao-do-passe
ba;bahia;salvador;sapeacu
ba;bahia;salvador;satiro-dias
ba;bahia;salvador;saubara
ba;bahia;salvador;saude
ba;bahia;salvador;seabra
ba;bahia;salvador;sebastiao-laranjeiras
ba;bahia;salvador;senhor-do-bonfim
ba;bahia;salvador;sento-se
ba;bahia;salvador;serra-do-ramalho
ba;bahia;salvador;serra-dourada
ba;bahia;salvador;serra-preta
ba;bahia;salvador;serrinha
ba;bahia;salvador;serrolandia
ba;bahia;salvador;simoes-filho
ba;bahia;salvador;sitio-do-mato
ba;bahia;salvador;sitio-do-quinto
ba;bahia;salvador;sobradinho
ba;bahia;salvador;souto-soares
ba;bahia;salvador;tabocas-do-brejo-velho
ba;bahia;salvador;tanhacu
ba;bahia;salvador;tanque-novo
ba;bahia;salvador;tanquinho-
ba;bahia;salvador;taperoa
ba;bahia;salvador;tapiramuta
ba;bahia;salvador;teixeira-de-freitas
ba;bahia;salvador;teodoro-sampaio
ba;bahia;salvador;teofilandia
ba;bahia;salvador;teolandia-
ba;bahia;salvador;terra-nova
ba;bahia;salvador;tremedal
ba;bahia;salvador;tucano
ba;bahia;salvador;uaua
ba;bahia;salvador;ubaira
ba;bahia;salvador;ubaitaba
ba;bahia;salvador;ubata
ba;bahia;salvador;uibai
ba;bahia;salvador;umburanas
ba;bahia;salvador;una
ba;bahia;salvador;urandi
ba;bahia;salvador;urucuca
ba;bahia;salvador;utinga
ba;bahia;salvador;valenca
ba;bahia;salvador;valente
ba;bahia;salvador;varzea-da-roca
ba;bahia;salvador;varzea-do-poco
ba;bahia;salvador;varzea-nova
ba;bahia;salvador;varzedo
ba;bahia;salvador;vera-cruz
ba;bahia;salvador;vereda
ba;bahia;salvador;vitoria-da-conquista
ba;bahia;salvador;wagner
ba;bahia;salvador;wanderley
ba;bahia;salvador;wenceslau-guimaraes
ba;bahia;salvador;xique-xique
ce;ceara;fortaleza;abaiara
ce;ceara;fortaleza;acarape
ce;ceara;fortaleza;acarau
ce;ceara;fortaleza;acopiara
ce;ceara;fortaleza;aiuaba
ce;ceara;fortaleza;alcantaras
ce;ceara;fortaleza;altaneira
ce;ceara;fortaleza;alto-santo
ce;ceara;fortaleza;amontada
ce;ceara;fortaleza;antonina-do-norte
ce;ceara;fortaleza;apuiares
ce;ceara;fortaleza;aquiraz
ce;ceara;fortaleza;aracati
ce;ceara;fortaleza;aracoiaba
ce;ceara;fortaleza;ararenda
ce;ceara;fortaleza;araripe
ce;ceara;fortaleza;aratuba
ce;ceara;fortaleza;arneiroz
ce;ceara;fortaleza;assare
ce;ceara;fortaleza;aurora
ce;ceara;fortaleza;baixio
ce;ceara;fortaleza;banabuiu
ce;ceara;fortaleza;barbalha
ce;ceara;fortaleza;barreira
ce;ceara;fortaleza;barro
ce;ceara;fortaleza;barroquinha
ce;ceara;fortaleza;baturite
ce;ceara;fortaleza;beberibe
ce;ceara;fortaleza;bela-cruz
ce;ceara;fortaleza;boa-viagem
ce;ceara;fortaleza;brejo-santo
ce;ceara;fortaleza;camocim
ce;ceara;fortaleza;campos-sales
ce;ceara;fortaleza;caninde
ce;ceara;fortaleza;capistrano
ce;ceara;fortaleza;caridade
ce;ceara;fortaleza;carire
ce;ceara;fortaleza;caririacu
ce;ceara;fortaleza;carius
ce;ceara;fortaleza;carnaubal
ce;ceara;fortaleza;cascavel
ce;ceara;fortaleza;catarina
ce;ceara;fortaleza;catunda
ce;ceara;fortaleza;caucaia
ce;ceara;fortaleza;cedro
ce;ceara;fortaleza;chaval
ce;ceara;fortaleza;choro
ce;ceara;fortaleza;chorozinho
ce;ceara;fortaleza;coreau
ce;ceara;fortaleza;crateus
ce;ceara;fortaleza;crato
ce;ceara;fortaleza;croata
ce;ceara;fortaleza;cruz
ce;ceara;fortaleza;demais-municipios
ce;ceara;fortaleza;deputado-irapuan-pinheiro
ce;ceara;fortaleza;erere
ce;ceara;fortaleza;eusebio
ce;ceara;fortaleza;farias-brito
ce;ceara;fortaleza;forquilha
ce;ceara;fortaleza;fortaleza
ce;ceara;fortaleza;fortim
ce;ceara;fortaleza;frecheirinha
ce;ceara;fortaleza;general-sampaio
ce;ceara;fortaleza;graca
ce;ceara;fortaleza;granja
ce;ceara;fortaleza;granjeiro
ce;ceara;fortaleza;groairas
ce;ceara;fortaleza;guaiuba
ce;ceara;fortaleza;guaraciaba-do-norte
ce;ceara;fortaleza;guaramiranga
ce;ceara;fortaleza;hidrolandia
ce;ceara;fortaleza;horizonte
ce;ceara;fortaleza;ibaretama
ce;ceara;fortaleza;ibiapina
ce;ceara;fortaleza;ibicuitinga
ce;ceara;fortaleza;icapui
ce;ceara;fortaleza;ico
ce;ceara;fortaleza;iguatu
ce;ceara;fortaleza;independencia
ce;ceara;fortaleza;ipaporanga
ce;ceara;fortaleza;ipaumirim
ce;ceara;fortaleza;ipu
ce;ceara;fortaleza;ipueiras
ce;ceara;fortaleza;iracema
ce;ceara;fortaleza;iraucuba
ce;ceara;fortaleza;itaicaba
ce;ceara;fortaleza;itaitinga
ce;ceara;fortaleza;itapage
ce;ceara;fortaleza;itapipoca
ce;ceara;fortaleza;itapiuna
ce;ceara;fortaleza;itarema
ce;ceara;fortaleza;itatira
ce;ceara;fortaleza;jaguaretama
ce;ceara;fortaleza;jaguaribara
ce;ceara;fortaleza;jaguaribe
ce;ceara;fortaleza;jaguaruana
ce;ceara;fortaleza;jardim
ce;ceara;fortaleza;jati
ce;ceara;fortaleza;jijoca-de-jericoacoara
ce;ceara;fortaleza;juazeiro-do-norte
ce;ceara;fortaleza;jucas
ce;ceara;fortaleza;lavras-da-mangabeira
ce;ceara;fortaleza;limoeiro-do-norte
ce;ceara;fortaleza;madalena
ce;ceara;fortaleza;maracanau
ce;ceara;fortaleza;maranguape
ce;ceara;fortaleza;marco
ce;ceara;fortaleza;martinopole
ce;ceara;fortaleza;massape
ce;ceara;fortaleza;mauriti
ce;ceara;fortaleza;meruoca
ce;ceara;fortaleza;milagres
ce;ceara;fortaleza;milha
ce;ceara;fortaleza;miraima
ce;ceara;fortaleza;missao-velha
ce;ceara;fortaleza;mombaca
ce;ceara;fortaleza;monsenhor-tabosa
ce;ceara;fortaleza;morada-nova
ce;ceara;fortaleza;moraujo
ce;ceara;fortaleza;morrinhos-
ce;ceara;fortaleza;mucambo
ce;ceara;fortaleza;mulungu
ce;ceara;fortaleza;nova-olinda
ce;ceara;fortaleza;nova-russas
ce;ceara;fortaleza;novo-oriente
ce;ceara;fortaleza;ocara
ce;ceara;fortaleza;oros
ce;ceara;fortaleza;pacajus
ce;ceara;fortaleza;pacatuba
ce;ceara;fortaleza;pacoti
ce;ceara;fortaleza;pacuja
ce;ceara;fortaleza;palhano
ce;ceara;fortaleza;palmacia
ce;ceara;fortaleza;paracuru
ce;ceara;fortaleza;paraipaba
ce;ceara;fortaleza;parambu
ce;ceara;fortaleza;paramoti
ce;ceara;fortaleza;pedra-branca
ce;ceara;fortaleza;penaforte
ce;ceara;fortaleza;pentecoste
ce;ceara;fortaleza;pereiro
ce;ceara;fortaleza;pindoretama
ce;ceara;fortaleza;piquet-carneiro
ce;ceara;fortaleza;pires-ferreira
ce;ceara;fortaleza;poranga
ce;ceara;fortaleza;porteiras
ce;ceara;fortaleza;potengi
ce;ceara;fortaleza;potiretama
ce;ceara;fortaleza;quiterianopolis
ce;ceara;fortaleza;quixada
ce;ceara;fortaleza;quixelo
ce;ceara;fortaleza;quixeramobim
ce;ceara;fortaleza;quixere
ce;ceara;fortaleza;redencao
ce;ceara;fortaleza;reriutaba-
ce;ceara;fortaleza;russas
ce;ceara;fortaleza;saboeiro
ce;ceara;fortaleza;salitre
ce;ceara;fortaleza;santa-quiteria
ce;ceara;fortaleza;santana-do-acarau
ce;ceara;fortaleza;santana-do-cariri
